goods_id,goods_name,price,sales,shop_sales_tip,thumb_url,link_url
902827801000,高弹力牙线超细剔牙一次性高分子家庭装牙签家用盒装包装成人神器,1.5,95,本店已拼64.5万+件,https://img.pddpic.com/mms-material-img/2026-01-07/f4f9472b-bed6-49eb-81a2-5a6f0c0ff8d7.jpeg.a.jpeg,goods.html?goods_id=902827801000&_oak_rcto=YWLDnWsupyWmT-CL00ZmsKqoeVUCjz5vbYHf9sz4gxd1-gQ_-lCbTQDs&_oak_gallery_token=72b5c8281210ee90f532dd7ab6489e8b&_oak_gallery=https://img.pddpic.com/mms-material-img/2026-01-07/f4f9472b-bed6-49eb-81a2-5a6f0c0ff8d7.jpeg.a.jpeg
853057497905,懒人抹布厨房吸油纸一次性可水洗干湿两用加厚清纸巾不沾油洗碗布,1.26,46000,已抢4.6万+件,https://img.pddpic.com/mms-material-img/2025-10-26/dc534c9e-b971-4a8a-b030-968e791c1574.jpeg.a.jpeg,goods.html?goods_id=853057497905&_oak_rcto=YWJ_dhqwUvqYm0BqS3Gfrr6NeVUCjz5vbYHf9sz4gxd1-gQ_-lCbTQDs&_oak_gallery_token=a404cee63dab5375c87ee95989629fa5&_oak_gallery=https://img.pddpic.com/mms-material-img/2025-10-26/dc534c9e-b971-4a8a-b030-968e791c1574.jpeg.a.jpeg
893047061511,一次性手套食品级橡胶乳胶餐饮防水硅胶皮家用手术牙科加厚丁晴晴,0.89,8394,总售50万+件,https://img.pddpic.com/mms-material-img/2026-01-23/78e4f370-fa2a-4185-a9de-fcf3e28f903d.jpeg.a.jpeg,goods.html?goods_id=893047061511&_oak_rcto=YWJ_no_dfOdi_p1vfEnvfibyeVUCjz5vbYHf9sz4gxd1-gQ_-lCbTQDs&_oak_gallery_token=dcc0d953b8f9b91b258cb53048d8156e&_oak_gallery=https://img.pddpic.com/mms-material-img/2026-01-23/78e4f370-fa2a-4185-a9de-fcf3e28f903d.jpeg.a.jpeg
900316539387,直液式走珠笔0.5mm中性笔学生用速干笔碳素笔水性笔直液笔签字笔,1.59,79,已抢79件,https://img.pddpic.com/open-gw/2026-01-08/c1784aca-f7d0-4ab3-bf2a-3c6a5d9b8d6b.jpeg,goods.html?goods_id=900316539387&_oak_rcto=YWIiCGLbaxyEatepJRfbpGcjeVUCjz5vbYHf9sz4gxd1-gQ_-lCbTQDs&_oak_gallery_token=b797fcd9ab30e24b2e32f9a7c66ab0bb&_oak_gallery=https://img.pddpic.com/open-gw/2026-01-08/c1784aca-f7d0-4ab3-bf2a-3c6a5d9b8d6b.jpeg
895845726956,【新店特惠】免撕黄油小熊印花加厚抽绳式随机印花厨房塑料袋清洁,0.99,78,本店已拼1.7万件,https://img.pddpic.com/mms-material-img/2025-08-16/84e56d05-e04f-4f2d-8c02-ea4dfe11c074.jpeg.a.jpeg,goods.html?goods_id=895845726956&_oak_rcto=YWJGQpTTyMmXc1f3338crid_eVUCjz5vbYHf9sz4gxd1-gQ_-lCbTQDs&_oak_gallery_token=70e7bf5cc7a8346db28c4affa5f7e548&_oak_gallery=https://img.pddpic.com/mms-material-img/2025-08-16/84e56d05-e04f-4f2d-8c02-ea4dfe11c074.jpeg.a.jpeg
864748832975,爆款高颅蓬松发箍带满天星高级防滑新款时尚头箍外戴发饰发卡头饰,0.99,11000,已抢1.1万+件,https://img.pddpic.com/mms-goods-image/2025-12-01/882667b0-62b2-4b8a-a9ca-a479d75a2b52.png.a.jpeg,goods.html?goods_id=864748832975&_oak_rcto=YWKH7Gs5wL934lDHLh42xAMJeVUCjz5vbYHf9sz4gxd1-gQ_-lCbTQDs&_oak_gallery_token=046a52e985fb02a8a7683b7978830c13&_oak_gallery=https://img.pddpic.com/mms-goods-image/2025-12-01/882667b0-62b2-4b8a-a9ca-a479d75a2b52.png.a.jpeg
899769989865,【二个装】旋转手机支架桌面ipad支架手机平板支撑架便宜便携带用,1.1,177,本店已拼26.3万+件,https://img.pddpic.com/mms-material-img/2025-04-02/d91b4f23-35b3-43fa-96e4-90e668950c06.jpeg.a.jpeg,goods.html?goods_id=899769989865&_oak_rcto=YWJBVxdSbXdmo1fqbVULib2beVUCjz5vbYHf9sz4gxd1-gQ_-lCbTQDs&_oak_part_price_cmp_suc=1&_oak_gallery_token=4bb27b0a80c4e705eaa822189c266d3a&_oak_gallery=https://img.pddpic.com/mms-material-img/2025-04-02/d91b4f23-35b3-43fa-96e4-90e668950c06.jpeg.a.jpeg
857473982820,折叠迷你桌面小拖把手持海绵吸水家用免手洗卫生间懒人擦桌神器,0.85,10000,本店已拼48万+件,https://img.pddpic.com/garner-api-new/aigc-img/white-img/aa78f31b6348215fd2ce9633fe449560-4020e-1763534355.png,goods.html?goods_id=857473982820&_oak_rcto=YWIIUZojgn2-23DWzPSc2nmKeVUCjz5vbYHf9sz4gxd1-gQ_-lCbTQDs&_oak_gallery_token=0ee5a994e28b2efd30c208ee8f177de1&_oak_gallery=https://img.pddpic.com/garner-api-new/aigc-img/white-img/aa78f31b6348215fd2ce9633fe449560-4020e-1763534355.png
901543839922,贴对联专用双面胶家用自粘性无痕不留胶通用墙面春联门联专用胶带,0.84,6662,已拼6662件,https://img.pddpic.com/open-gw/2026-01-29/e71388810bdd555be938e870dfaccc18.jpeg,goods.html?goods_id=901543839922&_oak_rcto=YWIIUZojgn2-21I8bjHF-lzbeVUCjz5vbYHf9sz4gxd1-gQ_-lCbTQDs&_oak_gallery_token=83c81f8512fcc4ce477044db108f2525&_oak_gallery=https://img.pddpic.com/open-gw/2026-01-29/e71388810bdd555be938e870dfaccc18.jpeg
853642283970,新款羊绒保暖口罩男女秋冬季加厚3d立体无胶无痕骑行防风防寒面罩,1,1017,本店已拼28万+件,https://img.pddpic.com/mms-material-img/2025-11-12/c0c61f8d-4dbb-4881-905a-e78d0e63ffc7.jpeg.a.jpeg,goods.html?goods_id=853642283970&_oak_rcto=YWII3DPUmGROhTcGrJpro6EoeVUCjz5vbYHf9sz4gxd1-gQ_-lCbTQDs&_oak_gallery_token=4a96ecede1d6f71a7aa308bc2c997b0b&_oak_gallery=https://img.pddpic.com/mms-material-img/2025-11-12/c0c61f8d-4dbb-4881-905a-e78d0e63ffc7.jpeg.a.jpeg
