title,img_url,director,starring,years,location,rating,reviews,genre
末代皇帝  / The Last Emperor,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.webp,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,1987,"英国, 意大利, 中国大陆, 法国",9.3,996699人评价,"剧情, 传记, 历史"
哈利·波特与魔法石  / Harry Potter and the Sorcerer's Stone,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913781448.webp,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,2001,"美国, 英国",9.2,1372652人评价,"奇幻, 冒险"
龙猫  / となりのトトロ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.webp,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,9.2,1378191人评价,"动画, 奇幻, 冒险"
怦然心动  / Flipped,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.webp,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,9.1,2000750人评价,"剧情, 喜剧, 爱情"
活着,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.webp,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,"中国大陆, 中国香港",9.3,942425人评价,"剧情, 历史, 家庭"
蝙蝠侠：黑暗骑士  / The Dark Knight,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.webp,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2008,"美国, 英国",9.2,1163135人评价,"剧情, 动作, 科幻, 犯罪, 惊悚"
指环王3：王者无敌  / The Lord of the Rings: The Return of the King,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.webp,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2003,"美国, 新西兰",9.3,885314人评价,"剧情, 动作, 奇幻, 冒险"
我不是药神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.webp,文牧野 Muye Wen,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,9.0,2297395人评价,"剧情, 喜剧"
乱世佳人  / Gone with the Wind,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.webp,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,1939,美国,9.3,768368人评价,"剧情, 历史, 爱情, 战争"
飞屋环游记  / Up,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.webp,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,2009,美国,9.1,1457482人评价,"剧情, 喜剧, 动画, 冒险"
让子弹飞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.webp,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,"中国大陆, 中国香港",9.0,1873080人评价,"剧情, 喜剧, 动作, 西部"
哈尔的移动城堡  / ハウルの動く城,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907583906.webp,宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,9.1,1245380人评价,"爱情, 动画, 奇幻, 冒险"
十二怒汉  / 12 Angry Men,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.webp,西德尼·吕美特 Sidney Lumet,亨利·方达 Henry Fonda / 马丁...,1957,美国,9.4,558320人评价,剧情
素媛  / 소원,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.webp,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,9.3,757041人评价,剧情
